"SubscriptionId","SubscriptionName","KeyVaultName","ResourceId","Location","ResourceGroupName","DiagnosticsEnabled","EnabledLogCategories","EnabledMetricCategories","LogAnalyticsEnabled","LogAnalyticsWorkspaceName","EventHubEnabled","EventHubNamespace","EventHubName","StorageAccountEnabled","StorageAccountName","AccessPolicyCount","AccessPolicyDetails","RBACRoleAssignments","RBACAssignmentCount","TotalIdentitiesWithAccess","ServicePrincipalCount","UserCount","GroupCount","ManagedIdentityCount","ServicePrincipalDetails","ManagedIdentityDetails","SoftDeleteEnabled","PurgeProtectionEnabled","PublicNetworkAccess","NetworkAclsConfigured","PrivateEndpointCount","SystemAssignedIdentity","SystemAssignedPrincipalId","UserAssignedIdentityCount","UserAssignedIdentityIds","ConnectedManagedIdentityCount","ComplianceStatus","ComplianceScore","CompanyComplianceScore","CompanyComplianceStatus","ComplianceIssues","ComplianceRecommendations","VaultRecommendations","SecurityEnhancements","RBACRecommendations","OverPrivilegedAssignments","SecretCount","KeyCount","CertificateCount","WorkloadCategories","EnvironmentType","PrimaryWorkload","SecurityInsights","OptimizationRecommendations","TotalItems"
"dc8b9d9c-0cf9-446c-9177-12921182f54a","1ci-preprod-metrics","kv-adx-access","/subscriptions/dc8b9d9c-0cf9-446c-9177-12921182f54a/resourceGroups/rg-1ci-metrics-data-analytics/providers/Microsoft.KeyVault/vaults/kv-adx-access","westus","rg-1ci-metrics-data-analytics","True","","","False","","True","","","False","","0","","","136","136","0","0","0","0","","NotReadable","False","False","Disabled","False","0","False","","0","","0","Compliant","86","86","Compliant","Critical: Soft delete not enabled; Medium: Purge protection not enabled","Enable Soft Delete","Enable Soft Delete","","","","0","0","0","","","","","","0"
"dc8b9d9c-0cf9-446c-9177-12921182f54a","1ci-preprod-metrics","kv-pre-ghacts-clctr","/subscriptions/dc8b9d9c-0cf9-446c-9177-12921182f54a/resourceGroups/rg_ghactions-metrics-collector/providers/Microsoft.KeyVault/vaults/kv-pre-ghacts-clctr","westus2","rg_ghactions-metrics-collector","True","","","False","","True","","","False","","2","","","135","137","0","0","0","0","","NotReadable","False","False","Enabled","False","0","False","","0","","0","Non-Compliant","49","49","Non-Compliant","Medium: Public network access enabled without private endpoints; Critical: Soft delete not enabled; Medium: Purge protection not enabled","Enable Soft Delete; Implement Private Endpoints; Migrate to Azure RBAC","Enable Soft Delete; Implement Private Endpoints; Migrate to Azure RBAC","","","","0","0","0","","","","","","0"
"9590a312-8cb4-433b-bf12-8897052f5d02","1ci-prod-metrics","kv-azure2cyberark","/subscriptions/9590a312-8cb4-433b-bf12-8897052f5d02/resourceGroups/rg_azure2cyberark/providers/Microsoft.KeyVault/vaults/kv-azure2cyberark","westus","rg_azure2cyberark","True","","","False","","True","","","False","","2","","","116","118","0","0","0","0","","NotReadable","False","False","Enabled","False","0","False","","0","","0","Non-Compliant","49","49","Non-Compliant","Medium: Public network access enabled without private endpoints; Critical: Soft delete not enabled; Medium: Purge protection not enabled","Enable Soft Delete; Implement Private Endpoints; Migrate to Azure RBAC","Enable Soft Delete; Implement Private Endpoints; Migrate to Azure RBAC","","","","0","0","0","","","","","","0"
